"Buying   MaintenanceDoors    Person lug_bootsafety   class"
"low   high           4       4small   med    acc"
"low   high           4       4small   high   acc"
"low   high           4       4med     low    unacc"
"low   high           4       4med     med    acc"
"low   high           4       4med     high   vgood"
"low   high           4       4big     low    unacc"
"low   high           4       4big     med    acc"
"low   high           4       4big     high   vgood"
"low   high           4more    small   low    unacc"
"low   high           4more    small   med    acc"
"low   high           4more    small   high   acc"
"low   high           4more    med     low    unacc"
"low   high           4more    med     med    acc"
"low   high           4more    med     high   vgood"
"low   high           4more    big     low    unacc"
"low   high           4more    big     med    acc"
"low   high           4more    big     high   vgood"
"low   high   5more           2small   low    unacc"
"low   high   5more           2small   med    unacc"
"low   high   5more           2small   high   unacc"
"low   high   5more           2med     low    unacc"
"low   high   5more           2med     med    unacc"
"low   high   5more           2med     high   unacc"
"low   high   5more           2big     low    unacc"
"low   high   5more           2big     med    unacc"
"low   high   5more           2big     high   unacc"
"low   high   5more           4small   low    unacc"
"low   high   5more           4small   med    acc"
"low   high   5more           4small   high   acc"
"low   high   5more           4med     low    unacc"
"low   high   5more           4med     med    acc"
"low   high   5more           4med     high   vgood"
"low   high   5more           4big     low    unacc"
"low   high   5more           4big     med    acc"
"low   high   5more           4big     high   vgood"
"low   high   5more   more     small   low    unacc"
"low   high   5more   more     small   med    acc"
"low   high   5more   more     small   high   acc"
"low   high   5more   more     med     low    unacc"
"low   high   5more   more     med     med    acc"
"low   high   5more   more     med     high   vgood"
"low   high   5more   more     big     low    unacc"
"low   high   5more   more     big     med    acc"
"low   high   5more more    big     high   vgood"
"low   med         2       2small   low    unacc"
"low   med         2       2small   med    unacc"
"low   med         2       2small   high   unacc"
"low   med         2       2med     low    unacc"
"low   med         2       2med     med    unacc"
"low   med         2       2med     high   unacc"
"low   med         2       2big     low    unacc"
"low   med         2       2big     med    unacc"
"low   med         2       2big     high   unacc"
"low   med         2       4small   low    unacc"
"low   med         2       4small   med    acc"
"low   med         2       4small   high   good"
"low   med         2       4med     low    unacc"
"low   med         2       4med     med    acc"
"low   med         2       4med     high   good"
"low   med         2       4big     low    unacc"
"low   med         2       4big     med    good"
"low   med         2       4big     high   vgood"
"low   med         2more    small   low    unacc"
"low   med         2more    small   med    unacc"
"low   med         2more    small   high   unacc"
"low   med         2more    med     low    unacc"
"low   med         2more    med     med    acc"
"low   med         2more    med     high   good"
"low   med         2more    big     low    unacc"
"low   med         2more    big     med    good"
"low   med         2more    big     high   vgood"
"low   med         3       2small   low    unacc"
"low   med         3       2small   med    unacc"
"low   med         3       2small   high   unacc"
"low   med         3       2med     low    unacc"
"low   med         3       2med     med    unacc"
"low   med         3       2med     high   unacc"
"low   med         3       2big     low    unacc"
"low   med         3       2big     med    unacc"
"low   med         3       2big     high   unacc"
"low   med         3       4small   low    unacc"
"low   med         3       4small   med    acc"
"low   med         3       4small   high   good"
"low   med         3       4med     low    unacc"
"low   med         3       4med     med    acc"
"low   med         3       4med     high   good"
"low   med         3       4big     low    unacc"
"low   med         3       4big     med    good"
"low   med         3       4big     high   vgood"
"low   med         3more    small   low    unacc"
"low   med         3more    small   med    acc"
"low   med         3more    small   high   good"
"low   med         3more    med     low    unacc"
"low   med         3more    med     med    good"
"low   med         3more    med     high   vgood"
"low   med         3more    big     low    unacc"
"low   med         3more    big     med    good"
"low   med         3more    big     high   vgood"
"low   med         4       2small   low    unacc"
"low   med         4       2small   med    unacc"
"low   med         4       2small   high   unacc"
"low   med         4       2med     low    unacc"
"low   med         4       2med     med    unacc"
"low   med         4       2med     high   unacc"
"low   med         4       2big     low    unacc"
"low   med         4       2big     med    unacc"
"low   med         4       2big     high   unacc"
"low   med         4       4small   low    unacc"
"low   med         4       4small   med    acc"
"low   med         4       4small   high   good"
"low   med         4       4med     low    unacc"
"low   med         4       4med     med    good"
"low   med         4       4med     high   vgood"
"low   med         4     4big         low    unacc"
"low   med         4     4big         med    good"
"low   med         4     4big         high   vgood"
"low   med         4more small        low    unacc"
"low   med         4more small        med    acc"
"low   med         4more small        high   good"
"low   med         4more med          low    unacc"
"low   med         4more med          med    good"
"low   med         4more med          high   vgood"
"low   med         4more big          low    unacc"
"low   med         4more big          med    good"
"low   med         4more big          high   vgood"
"low   med   5more       2small       low    unacc"
"low   med   5more       2small       med    unacc"
"low   med   5more       2small       high   unacc"
"low   med   5more           2med     low    unacc"
"low   med   5more           2med     med    unacc"
"low   med   5more           2med     high   unacc"
"low   med   5more           2big     low    unacc"
"low   med   5more           2big     med    unacc"
"low   med   5more           2big     high   unacc"
"low   med   5more           4small   low    unacc"
"low   med   5more           4small   med    acc"
"low   med   5more           4small   high   good"
"low   med   5more           4med     low    unacc"
"low   med   5more           4med     med    good"
"low   med   5more           4med     high   vgood"
"low   med   5more           4big     low    unacc"
"low   med   5more           4big     med    good"
"low   med   5more           4big     high   vgood"
"low   med   5more    more    small   low    unacc"
"low   med   5more    more    small   med    acc"
"low   med   5more    more    small   high   good"
"low   med   5more    more    med     low    unacc"
"low   med   5more    more    med     med    good"
"low   med   5more    more    med     high   vgood"
"low   med   5more    more    big     low    unacc"
"low   med   5more    more    big     med    good"
"low   med   5more    more    big     high   vgood"
"low   low           2       2small   low    unacc"
"low   low           2       2small   med    unacc"
"low   low           2       2small   high   unacc"
"low   low           2       2med     low    unacc"
"low   low           2       2med     med    unacc"
"low   low           2       2med     high   unacc"
"low   low           2       2big     low    unacc"
"low   low           2       2big     med    unacc"
"low   low           2       2big     high   unacc"
"low   low           2       4small   low    unacc"
"low   low           2       4small   med    acc"
"low   low           2       4small   high   good"
"low   low           2       4med     low    unacc"
"low   low           2       4med     med    acc"
"low   low           2       4med     high   good"
"low   low           2       4big     low    unacc"
"low   low           2       4big     med    good"
"low   low           2       4big     high   vgood"
"low   low           2more    small   low    unacc"
"low   low           2more    small   med    unacc"
"low   low           2more    small   high   unacc"
"low   low           2more    med     low    unacc"
"low   low           2more    med     med    acc"
"low   low           2more    med     high   good"
"low   low           2more    big     low    unacc"
"low   low           2more    big     med    good"
"low   low           2more    big     high   vgood"
"low   low           3       2small   low    unacc"
"low   low           3       2small   med    unacc"
"low   low           3       2small   high   unacc"
"low   low           3       2med     low    unacc"
"low   low           3       2med     med    unacc"
"low   low           3       2med     high   unacc"
"low   low           3       2big     low    unacc"
"low   low           3       2big     med    unacc"
"low   low           3       2big     high   unacc"
"low   low           3       4small   low    unacc"
"low   low           3       4small   med    acc"
"low   low           3       4small   high   good"
"low   low           3       4med     low    unacc"
"low   low           3       4med     med    acc"
"low   low           3       4med     high   good"
"low   low           3       4big     low    unacc"
"low   low           3       4big     med    good"
"low   low           3       4big     high   vgood"
"low   low           3more    small   low    unacc"
"low   low           3more    small   med    acc"
"low   low           3more    small   high   good"
"low   low           3more    med     low    unacc"
"low   low           3more    med     med    good"
"low   low           3more    med     high   vgood"
"low   low           3more    big     low    unacc"
"low   low           3more    big     med    good"
"low   low           3more    big     high   vgood"
"low   low           4       2small   low    unacc"
"low   low           4       2small   med    unacc"
"low   low           4       2small   high   unacc"
"low   low           4       2med     low    unacc"
"low   low           4       2med     med    unacc"
"low   low           4       2med     high   unacc"
"low   low           4       2big     low    unacc"
"low   low           4       2big     med    unacc"
"low   low           4       2big     high   unacc"
"low   low           4       4small   low    unacc"
"low   low           4       4small   med    acc"
"low   low           4       4small   high   good"
"low   low           4       4med     low    unacc"
"low   low           4       4med     med    good"
"low   low           4       4med     high   vgood"
"low   low           4       4big     low    unacc"
"low   low           4       4big     med    good"
"low   low           4       4big     high   vgood"
"low   low           4more    small   low    unacc"
"low   low           4more    small   med    acc"
"low   low           4more    small   high   good"
"low   low           4more    med     low    unacc"
"low   low           4more    med     med    good"
"low   low           4more    med     high   vgood"
"low   low           4more    big     low    unacc"
"low   low           4more    big     med    good"
"low   low           4more    big     high   vgood"
"low   low           4more    big     high   vgood"
"low   low   5more           2small   low    unacc"
"low   low   5more           2small   med    unacc"
"low   low   5more           2small   high   unacc"
"low   low   5more           2med     low    unacc"
"low   low   5more           2med     med    unacc"
"low   low   5more           2med     high   unacc"
"low   low   5more           2big     low    unacc"
"low   low   5more           2big     med    unacc"
"low   low   5more           2big     high   unacc"
"low   low   5more           4small   low    unacc"
"low   low   5more           4small   med    acc"
"low   low   5more           4small   high   good"
"low   low   5more           4med     low    unacc"
"low   low   5more           4med     med    good"
"low   low   5more           4med     high   vgood"
"low   low   5more           4big     low    unacc"
"low   low   5more           4big     med    good"
"low   low   5more          4big     high   vgood"
"low   low   5more          4big     high   vgood"
"low   low   5more          4big     high   vgood"
"low   low   5more   more    small   low    unacc"
"low   low   5more   more    small   med    acc"
"low   low   5more   more    small   high   good"
"low   low   5more   more    med     low    unacc"
"low   low   5more   more    med     med    good"
"low   low   5more   more    med     high   vgood"
"low   low   5more   more    med     high   vgood"
"low   low   5more   more    med     high   vgood"
"low   low   5more   more    big     low    unacc"
"low   low   5more   more    big     med    good"
"low   low   5more   more    big     high   vgood"
""
